name,level,status,province,district,division,location,constituency,county,email,latitude,longitude
ACK EMMANUEL PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KABIMOI,BOMET,,0.03,35.78
GREENVIEW PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0.02,35.79
NESWIN DAYSTAR PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0,35.75
JONACH CHRISTIAN ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.35,35.58
ST TERESA PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,-0.02,35.79
SIKINWO ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,BOMET,,0.34,35.56
ST MARY'S PAROCHIAL PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,BOMET,,-0.02,35.81
KAPSERERE HIGHLAND ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.36,35.55
CRESCENT ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPTOIM,UNKNOWN,,0.04,35.84
BRAIN HARVESTERS PR,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,BOMET,,0.06,35.54
EMMANUEL ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,MUMBERES,UNKNOWN,,0,35.57
NYASITA ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OSINONI,UNKNOWN,,-1.01,34.85
BETLA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,LEMBUS CENTRAL,BOMET,,0.06,35.65
ARISE AND SHINE ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OLOIBORSOITO,NAROK,,-0.99,34.92
TRANSMARA HILLSPRINGS ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,POROKO,BOMET,,-0.96,34.89
GREEN ANGELS JUNIOR PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.38
FAITH JUNIOR PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.38
ZIWANI JUINIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.39
OASIS PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,TOWNSHIP,TRANS NZOIA,,0.04,36.38
ST MICHAEL JUNIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,MUTITU,KITUI,,0.03,36.41
SUNSHINE MORNING STAR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,MUTITU,KITUI,,0.04,36.42
FALLING WATERS ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.36
HEKIMA ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,PIRRAR,KILGORIS,KAPUNE,NYANZA,,-0.94,35
KINGS JUNIOR PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.03,36.34
NEW LIFE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.03,36.36
WORLD HOPE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.02,36.36
ST PAULS' ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.36
NENKAI ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KEIYAN,KILGORIS,ENOOSANE,NAROK,,-1.02,34.73
SAMUEL KAMANDE MWAURA PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.36
KEENS ENOOSAEN ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KEIYAN,KILGORIS,ENOOSANE,NAROK,,-1.02,34.72
JOHN PAUL II PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.03,36.35
EWASO NYIRO ELITE 'B' PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.35
ST PAULS NYAHURURU ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,MAINA,NYANDARUA,,0.06,36.36
VALEY VIEW ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,IGWAMITI,NYANDARUA,,0.04,36.32
HEROES PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,IGWAMITI,NYANDARUA,,0.06,36.31
NYAHURURU VICTORY ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,IGWAMITI,NYANDARUA,,0.04,36.33
INDONYO PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KEIYAN,KILGORIS,MASURURA,NYANZA,,-1.14,34.64
KERETO DAY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KEIYAN,KILGORIS,NKARARO,NAROK,,-1.08,34.75
MUMMY'S JUNIOR PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,IGWAMITI,NYANDARUA,,0.02,36.28
BETHAS ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,TRANS MARA,KEIYAN,KILGORIS,ENOOSANE,NAROK,,-1.02,34.74
JUPITER ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,MAINA,NYANDARUA,,0.05,36.35
MARAWAY ACADEMY,PRIMARY SCHOOL,PRIVATE,RIFT VALLEY,NAROK,OSUPUKO,NAROK SOUTH,LOWER MELILI,NAROK,,-1.15,35.75
