name,level,status,province,district,division,location,constituency,county,email,latitude,longitude
CHEBIREBEI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,SINENDE,BARINGO,,0.27,36.14
WASEGES PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,SINENDE,BARINGO,,0.26,36.17
KIRIBOT PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,KABUSWO,BARINGO,,0.24,36.18
KABUSWO PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,KABUSWO,BARINGO,,0.21,36.19
VONDENI PRI SCHOOL,PRIMARY SCHOOL,PUBLIC,EASTERN,MACHAKOS,MASINGA,KIVAA,MASINGA,MACHAKOS,,-0.88,37.7
POMBO PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,NGENDALEL,BARINGO,,0.07,36.1
KIPNYUNGUNY PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,NGENDALEL,BARINGO,,0.1,36.13
KABERGEI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,OLKOKWE,BARINGO,,0.13,36.14
KOPTEGA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.37,35.54
CHOMIEK PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,OLDEBES,BARINGO,,0.11,36.09
KAPNG'ETIK PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.37,35.56
OLDEBES PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,OLDEBES,BARINGO,,0.06,36.08
YATIANE PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.39,35.57
KOISARAM PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,KISANANA,BARINGO,,0,36.06
CHEROTA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.38,35.58
NGARIE PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KABIMOI,BOMET,,0.05,35.79
KABIMOI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KABIMOI,BOMET,,0.03,35.78
KAMWAGO PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.37,35.58
ACK EMMANUEL PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KABIMOI,BOMET,,0.03,35.78
KAPSAMICH PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.36,35.58
GREENVIEW PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0.02,35.79
LELBOINET PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.36,35.57
SOLIAN PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0,35.76
CHEBIREI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.35,35.58
NESWIN DAYSTAR PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0,35.75
SABATIA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,-0.03,35.74
JONACH CHRISTIAN ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.35,35.58
LEBOLOS PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,-0.02,35.79
KIPSAINA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,BOMET,,0.34,35.58
ST TERESA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,-0.02,35.79
KIPSANAI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,BOMET,,0.33,35.57
KOKWOMOI PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0,35.78
CHEPKETERET PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,ELGEYO-MARAKWET,,0.32,35.57
KIPKABER PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0.01,35.79
KAPCHEBELEL PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,ELGEYO-MARAKWET,,0.29,35.56
